0	11485	-4338	19026
1000	11477	-4298	19061
2000	11481	-4321	19043
3000	11489	-4315	19049
4000	11501	-4339	19028
5000	11508	-4315	19048
6000	11515	-4304	19060
7000	11515	-4318	19047
8000	11520	-4314	19048
9000	11523	-4292	19071
10000	11530	-4349	19019
11000	11544	-4304	19057
12000	11553	-4364	19006
13000	11550	-4311	19055
14000	11559	-4312	19054
15000	11568	-4293	19073
16000	11581	-4396	18982
17000	11583	-4372	19000
18000	11582	-4291	19072
19000	11584	-4312	19057
20000	11593	-4309	19058
21000	11601	-4266	19095
22000	11616	-4396	18985
23000	11631	-4382	18991
24000	11625	-4309	19057
25000	11624	-4327	19043
26000	11639	-4348	19025
27000	11636	-4342	19029
28000	11642	-4326	19045
29000	11645	-4318	19049
30000	11658	-4386	18990
31000	11662	-4319	19049
32000	11669	-4358	19016
33000	11679	-4329	19041
34000	11681	-4313	19056
35000	11682	-4316	19056
36000	11693	-4321	19049
37000	11696	-4323	19049
38000	11704	-4279	19087
39000	11712	-4279	19089
40000	11725	-4322	19048
41000	11726	-4336	19037
42000	11730	-4342	19033
43000	11737	-4326	19047
44000	11746	-4315	19055
45000	11742	-4363	19013
46000	11750	-4338	19037
47000	11754	-4339	19036
48000	11766	-4350	19028
49000	11781	-4318	19059
50000	11796	-4334	19044
51000	11792	-4344	19035
52000	11802	-4361	19021
53000	11804	-4337	19043
54000	11808	-4344	19035
55000	11814	-4350	19034
56000	11824	-4365	19021
57000	11826	-4333	19049
58000	11839	-4355	19028
59000	11846	-4438	18959
60000	11840	-4358	19027
61000	11849	-4342	19042
62000	11860	-4315	19066
63000	11862	-4374	19014
64000	11873	-4281	19095
65000	11875	-4306	19074
66000	11880	-4313	19068
67000	11889	-4314	19069
68000	11893	-4337	19051
69000	11902	-4345	19042
70000	11910	-4305	19077
71000	11917	-4371	19021
72000	11918	-4353	19036
73000	11927	-4306	19075
74000	11935	-4336	19052
75000	11938	-4319	19068
76000	11949	-4338	19052
77000	11946	-4358	19032
78000	11957	-4324	19061
79000	11959	-4337	19050
80000	11967	-4395	19006
81000	11969	-4333	19057
82000	11973	-4334	19057
83000	11991	-4348	19046
84000	11997	-4380	19018
85000	11999	-4354	19041
86000	12004	-4327	19063
87000	12002	-4337	19053
88000	12012	-4308	19078
89000	12021	-4285	19100
90000	12019	-4334	19058
91000	12028	-4315	19074
92000	12036	-4306	19083
93000	12047	-4361	19036
94000	12051	-4307	19085
95000	12051	-4319	19073
96000	12059	-4358	19037
97000	12069	-4351	19047
98000	12072	-4312	19079
99000	12081	-4429	18979
100000	12084	-4361	19037
101000	12094	-4322	19074
102000	12102	-4362	19042
103000	12109	-4334	19065
104000	12112	-4363	19040
105000	12120	-4343	19057
106000	12120	-4318	19078
107000	12127	-4345	19055
108000	12132	-4338	19063
109000	12138	-4354	19049
110000	12148	-4354	19051
111000	12159	-4357	19049
112000	12164	-4370	19036
113000	12161	-4327	19073
114000	12168	-4338	19065
115000	12178	-4454	18965
116000	12178	-4359	19044
117000	12187	-4343	19059
118000	12196	-4374	19036
119000	12206	-4394	19021
120000	12210	-4372	19039
