0	11482	-4399
1000	11473	-4324
2000	11479	-4360
3000	11488	-4312
4000	11493	-4346
5000	11501	-4322
6000	11505	-4336
7000	11513	-4336
8000	11520	-4338
9000	11522	-4331
10000	11528	-4336
11000	11540	-4337
12000	11546	-4357
13000	11549	-4326
14000	11553	-4352
15000	11561	-4321
16000	11575	-4339
17000	11575	-4343
18000	11579	-4361
19000	11584	-4326
20000	11591	-4342
21000	11599	-4328
22000	11609	-4380
23000	11610	-4343
24000	11621	-4353
25000	11619	-4347
26000	11625	-4336
27000	11634	-4327
28000	11640	-4345
29000	11644	-4349
30000	11654	-4358
31000	11654	-4350
32000	11665	-4395
33000	11674	-4391
34000	11676	-4373
35000	11677	-4343
36000	11687	-4340
37000	11695	-4355
38000	11704	-4333
39000	11708	-4318
40000	11715	-4330
41000	11715	-4336
42000	11729	-4380
43000	11733	-4349
44000	11740	-4341
45000	11741	-4345
46000	11750	-4349
47000	11761	-4332
48000	11764	-4392
49000	11771	-4368
50000	11781	-4402
51000	11791	-4343
52000	11792	-4355
53000	11797	-4368
54000	11802	-4374
55000	11814	-4333
56000	11823	-4366
57000	11828	-4327
58000	11833	-4361
59000	11839	-4362
60000	11840	-4396
61000	11848	-4352
62000	11858	-4385
63000	11861	-4378
64000	11874	-4327
65000	11875	-4353
66000	11880	-4340
67000	11889	-4360
68000	11893	-4358
69000	11902	-4342
70000	11908	-4319
71000	11911	-4383
72000	11918	-4361
73000	11927	-4356
74000	11931	-4363
75000	11939	-4379
76000	11946	-4383
77000	11947	-4371
78000	11958	-4400
79000	11960	-4378
80000	11967	-4389
81000	11969	-4340
82000	11977	-4361
83000	11985	-4354
84000	11991	-4371
85000	12001	-4391
86000	12004	-4325
87000	12006	-4364
88000	12011	-4324
89000	12020	-4338
90000	12027	-4334
91000	12029	-4352
92000	12036	-4352
93000	12043	-4360
94000	12045	-4366
95000	12053	-4346
96000	12060	-4386
97000	12068	-4360
98000	12073	-4333
99000	12079	-4379
100000	12087	-4379
101000	12093	-4331
102000	12098	-4366
103000	12107	-4362
104000	12111	-4372
105000	12121	-4423
106000	12122	-4351
107000	12127	-4349
108000	12133	-4360
109000	12138	-4372
110000	12149	-4359
