0	23331	83941	51935
1000	23810	53303	21482
2000	33761	-144802	177083
3000	25766	41404	9769
4000	29031	-26135	58329
5000	20254	148311	116493
6000	18670	173715	141954
7000	28340	-12866	44927
8000	35246	-37436	69673
9000	33634	12507	19327
10000	7571	-23287	25002
11000	7227	-23600	25441
12000	7195	-23546	25388
13000	7158	-23629	25454
14000	7122	-23582	25403
15000	7087	-23610	25423
16000	7061	-23619	25424
17000	7012	-23611	25414
18000	6982	-23505	25307
19000	6939	-23587	25375
20000	6891	-23532	25320
21000	6870	-23613	25384
22000	6828	-23612	25380
23000	6784	-23637	25396
24000	6746	-23669	25419
25000	6728	-23685	25428
26000	6678	-23686	25419
27000	6642	-23755	25476
28000	6608	-23733	25448
29000	6574	-23712	25422
30000	6543	-23768	25467
31000	6499	-23698	25394
32000	6466	-23657	25350
33000	6429	-23740	25420
34000	6379	-23793	25462
35000	6355	-23800	25463
36000	6322	-23779	25433
37000	6274	-23825	25472
38000	6232	-23786	25427
39000	6191	-23839	25470
40000	6167	-23758	25384
41000	6127	-23765	25386
42000	6094	-23832	25443
43000	6056	-23765	25372
44000	6019	-23849	25440
45000	5977	-23830	25415
46000	5940	-23850	25430
47000	5906	-23819	25395
48000	5870	-23829	25397
49000	5832	-23787	25359
50000	5799	-23887	25437
51000	5759	-23856	25403
52000	5722	-23830	25375
53000	5685	-23867	25400
54000	5645	-23840	25370
55000	5608	-23827	25349
56000	5562	-23928	25436
57000	5531	-23926	25426
58000	5495	-23888	25383
59000	5461	-23940	25428
60000	5423	-23946	25422
61000	5385	-23974	25441
62000	5346	-23875	25343
63000	5307	-23976	25435
64000	5267	-23945	25398
65000	5234	-23952	25396
66000	5202	-23966	25403
67000	5158	-24000	25429
68000	5116	-24072	25488
69000	5093	-23948	25367
70000	5059	-24010	25413
71000	5017	-24013	25413
72000	4977	-23961	25358
73000	4941	-24052	25438
74000	4899	-24072	25446
75000	4867	-23973	25350
76000	4831	-24052	25417
77000	4792	-24052	25406
78000	4765	-24062	25409
79000	4720	-24043	25383
80000	4686	-24071	25405
81000	4648	-24115	25438
82000	4609	-24114	25432
83000	4572	-24097	25410
84000	4536	-24059	25367
85000	4500	-24166	25459
86000	4465	-24132	25419
87000	4429	-24090	25375
88000	4397	-24155	25426
89000	4349	-24142	25405
90000	4320	-24167	25424
91000	4279	-24123	25376
92000	4244	-24154	25398
93000	4206	-24181	25420
94000	4175	-24183	25413
95000	4140	-24138	25366
96000	4108	-24241	25453
97000	4066	-24199	25406
98000	4033	-24203	25401
99000	3995	-24228	25418
100000	3954	-24217	25402
101000	3920	-24197	25379
102000	3882	-24239	25412
103000	3840	-24215	25383
104000	3806	-24228	25388
105000	3773	-24310	25456
106000	3734	-24280	25421
107000	3696	-24261	25395
108000	3660	-24303	25429
109000	3621	-24286	25405
110000	3586	-24317	25430
111000	3542	-24351	25454
112000	3510	-24294	25393
113000	3477	-24332	25422
114000	3440	-24309	25394
115000	3403	-24345	25420
116000	3369	-24323	25393
117000	3336	-24385	25442
118000	3295	-24390	25440
119000	3252	-24390	25435
120000	3220	-24381	25420
121000	3182	-24389	25422
122000	3149	-24408	25431
123000	3115	-24408	25422
124000	3077	-24358	25368
125000	3033	-24468	25463
126000	2999	-24368	25366
127000	2968	-24397	25384
128000	2929	-24449	25428
129000	2892	-24476	25449
130000	2862	-24414	25387
131000	2822	-24424	25387
132000	2779	-24472	25425
133000	2736	-24473	25419
134000	2708	-24480	25416
135000	2671	-24450	25382
136000	2642	-24477	25398
137000	2598	-24546	25457
138000	2558	-24470	25384
139000	2525	-24545	25447
140000	2488	-24532	25420
141000	2459	-24510	25395
142000	2413	-24486	25367
143000	2372	-24533	25403
144000	2340	-24525	25391
145000	2305	-24494	25351
146000	2276	-24610	25452
147000	2233	-24529	25373
148000	2200	-24567	25402
149000	2163	-24575	25403
150000	2131	-24579	25399
151000	2099	-24582	25395
152000	2065	-24626	25427
153000	2022	-24602	25399
154000	1988	-24615	25403
155000	1947	-24607	25391
156000	1910	-24745	25507
157000	1883	-24668	25430
158000	1843	-24654	25411
159000	1811	-24673	25422
160000	1779	-24747	25486
161000	1770	-24824	25564
162000	1743	-24876	25634
163000	1788	-25252	26039
164000	392	-19934	20658
165000			
166000			
167000			
168000			
169000			
170000			
171000			
172000	29765	43397	14790
173000	18493	116871	87819
174000	22421	89360	59764
175000	23332	71897	42193
176000	29614	-30389	60496
177000	30354	-28032	58325
178000	15196	92519	62921
179000	14056	79394	49821
180000	12262	118178	88502
181000	21447	-70112	100189
182000	18308	-20293	50428
183000	13640	-20239	50115
184000	904	108074	78671
185000	-1593	172734	143276
186000	-1086	171904	142335
187000	6890	-75966	105794
188000	3468	22085	8249
189000	7950	-116650	146596
190000	8305	-103346	133371
191000	10942	-137701	167853
192000	15535	-64147	94647
193000	12822	-165816	196112
194000	16289	-230612	261049
195000	12830	-166306	196712
196000	12812	-164839	195313
197000	16158	-237303	267915
198000	6708	-56268	86701
199000	5814	-22088	52531
200000	6308	-44869	75295
201000	6507	-77020	107408
202000	-163	105526	75391
203000	13775	25969	5383
204000	14207	-4519	35328
205000	18870	-70337	101204
206000	22472	-1057	32150
207000	21122	15998	15180
208000	26075	3996	27298
209000	22784	120468	89415
210000	31667	-149690	180956
211000	25405	33615	3855
212000	24331	55065	24164
213000	24171	64433	33483
214000	30076	-60101	91388
215000	29687	-43187	74502
216000	28625	-31903	63132
217000	30677	-8822	39976
218000	40605	10093	23152
219000	41124	1318	19085
220000	-420	-25116	31003
221000	-466	-25153	31055
222000	-515	-25199	31093
223000	-584	-25257	31147
224000	-604	-25182	31058
225000	-633	-25082	30957
226000	-684	-25103	30972
227000	-447	-24337	30156
228000	2930	-13873	18882
229000	-746	-25246	25471
230000	-790	-25216	25442
231000	-836	-25188	25410
